Common name	Scientific name	Status	No.	No. Back
Ivory-billed Woodcreeper	Xiphorhynchus flavigaster		73	30
Black-striped Woodcreeper	Xiphorhynchus lachrymosus		52	49
Spotted Woodcreeper	Xiphorhynchus erythropygius		65	23
Olive-backed Woodcreeper	Xiphorhynchus triangularis		46	8
White-striped Woodcreeper	Lepidocolaptes leucogaster		20	7
Streak-headed Woodcreeper	Lepidocolaptes souleyetii		99	62
Narrow-billed Woodcreeper	Lepidocolaptes angustirostris		89	35
Spot-crowned Woodcreeper	Lepidocolaptes affinis		30	11
Montane Woodcreeper	Lepidocolaptes lacrymiger		67	33
Scaled Woodcreeper	Lepidocolaptes squamatus		27	13
Scalloped Woodcreeper	Lepidocolaptes falcinellus		25	9
Guianan Woodcreeper	Lepidocolaptes albolineatus		15	7
Greater Scythebill	Drymotoxeres pucheranii		7	0
Red-billed Scythebill	Campylorhamphus trochilirostris		133	49
Black-billed Scythebill	Campylorhamphus falcularius		81	11
Brown-billed Scythebill	Campylorhamphus pusillus		69	6
Curve-billed Scythebill	Campylorhamphus procurvoides		59	2
Fasciated Antshrike	Cymbilaimus lineatus		141	266
Bamboo Antshrike	Cymbilaimus sanctaemariae		35	63
Spot-backed Antshrike	Hypoedaleus guttatus		126	82
Giant Antshrike	Batara cinerea		157	59
Large-tailed Antshrike	Mackenziaena leachii		71	16
Tufted Antshrike	Mackenziaena severa		122	70
Black-throated Antshrike	Frederickena viridis		28	8
Undulated Antshrike	Frederickena unduliger		9	0
Great Antshrike	Taraba major		289	258
Black-crested Antshrike	Sakesphorus canadensis		123	56
Silvery-cheeked Antshrike	Sakesphorus cristatus		34	27
Glossy Antshrike	Sakesphorus luctuosus		36	21
White-bearded Antshrike	Biatas nigropectus		60	18
Collared Antshrike	Thamnophilus bernardi		66	48
Black-backed Antshrike	Thamnophilus melanonotus		30	0
Band-tailed Antshrike	Thamnophilus melanothorax		9	1
Barred Antshrike	Thamnophilus doliatus		264	323
Chapman's Antshrike	Thamnophilus zarumae		21	4
Bar-crested Antshrike	Thamnophilus multistriatus		59	45
Lined Antshrike	Thamnophilus tenuepunctatus		58	35
Chestnut-backed Antshrike	Thamnophilus palliatus		90	125
Black-hooded Antshrike	Thamnophilus bridgesi		40	17
Black Antshrike	Thamnophilus nigriceps		32	4
Cocha Antshrike	Thamnophilus praecox		29	3
Blackish-grey Antshrike	Thamnophilus nigrocinereus		35	12
Castelnau's Antshrike	Thamnophilus cryptoleucus		28	7
White-shouldered Antshrike	Thamnophilus aethiops		114	98
Uniform Antshrike	Thamnophilus unicolor		104	26
Plain-winged Antshrike	Thamnophilus schistaceus		97	386
Mouse-colored Antshrike	Thamnophilus murinus		87	95
Upland Antshrike	Thamnophilus aroyae		7	7
Black-crowned Antshrike	Thamnophilus atrinucha		134	96
Northern Slaty Antshrike	Thamnophilus punctatus		115	30
Natterer's Slaty Antshrike	Thamnophilus stictocephalus		45	21
Bolivian Slaty Antshrike	Thamnophilus sticturus		19	25
Planalto Slaty Antshrike	Thamnophilus pelzelni		67	89
Sooretama Slaty Antshrike	Thamnophilus ambiguus		78	41
Amazonian Antshrike	Thamnophilus amazonicus		71	53
Streak-backed Antshrike	Thamnophilus insignis		14	0
Variable Antshrike	Thamnophilus caerulescens		193	167
Rufous-winged Antshrike	Thamnophilus torquatus		45	10
Rufous-capped Antshrike	Thamnophilus ruficapillus		105	20
Pearly Antshrike	Megastictus margaritatus		30	1
Black Bushbird	Neoctantes niger		26	2
Recurve-billed Bushbird	Clytoctantes alixii		31	5
Rondonia Bushbird	Clytoctantes atrogularis		7	0
Speckled Antshrike	Xenornis setifrons		12	1
Russet Antshrike	Thamnistes anabatinus		50	11
Spot-breasted Antvireo	Dysithamnus stictothorax		94	137
Plain Antvireo	Dysithamnus mentalis		301	284
Streak-crowned Antvireo	Dysithamnus striaticeps		11	5
Spot-crowned Antvireo	Dysithamnus puncticeps		54	31
Rufous-backed Antvireo	Dysithamnus xanthopterus		51	18
Bicolored Antvireo	Dysithamnus occidentalis		48	0
Plumbeous Antvireo	Dysithamnus plumbeus		14	2
Dusky-throated Antshrike	Thamnomanes ardesiacus		90	118
Saturnine Antshrike	Thamnomanes saturninus		42	16
Cinereous Antshrike	Thamnomanes caesius		110	150
Bluish-slate Antshrike	Thamnomanes schistogynus		45	102
Spot-winged Antshrike	Pygiptila stellaris		80	138
Checker-throated Antwren	Epinecrophylla fulviventris		74	22
Brown-bellied Antwren	Epinecrophylla gutturalis		12	4
White-eyed Antwren	Epinecrophylla leucophthalma		58	25
Napo Stipple-throated Antwren	Epinecrophylla haematonota		19	1
Yasuni Antwren	Epinecrophylla fjeldsaai		21	2
Foothill Antwren	Epinecrophylla spodionota		40	3
Ornate Antwren	Epinecrophylla ornata		68	42
Rufous-tailed Antwren	Epinecrophylla erythrura		20	5
Moustached Antwren	Myrmotherula ignota		55	36
Pygmy Antwren	Myrmotherula brachyura		111	243
Guianan Streaked Antwren	Myrmotherula surinamensis		25	6
Amazonian Streaked Antwren	Myrmotherula multostriata		79	33
Pacific Antwren	Myrmotherula pacifica		42	43
Cherrie's Antwren	Myrmotherula cherriei		32	2
Klages's Antwren	Myrmotherula klagesi		19	9
Stripe-chested Antwren	Myrmotherula longicauda		38	34
Yellow-throated Antwren	Myrmotherula ambigua		10	3
Sclater's Antwren	Myrmotherula sclateri		52	107
White-flanked Antwren	Myrmotherula axillaris		194	170
Slaty Antwren	Myrmotherula schisticolor		59	28
Rio Suno Antwren	Myrmotherula sunensis		9	0
Salvadori's Antwren	Myrmotherula minor		10	0
Long-winged Antwren	Myrmotherula longipennis		51	65
Band-tailed Antwren	Myrmotherula urosticta		12	0
Ihering's Antwren	Myrmotherula iheringi		22	8
Rio de Janeiro Antwren	Myrmotherula fluminensis		0	0
Yungas Antwren	Myrmotherula grisea		3	2
Unicolored Antwren	Myrmotherula unicolor		61	15
Alagoas Antwren	Myrmotherula snowi		8	1
Plain-winged Antwren	Myrmotherula behni		11	0
Grey Antwren	Myrmotherula menetriesii		91	105
Leaden Antwren	Myrmotherula assimilis		22	7
Banded Antbird	Dichrozona cincta		47	5
Star-throated Antwren	Rhopias gularis		106	31
Stripe-backed Antbird	Myrmorchilus strigilatus		69	72
Bahia Antwren	Herpsilochmus pileatus		28	7
Caatinga Antwren	Herpsilochmus sellowi		34	9
Black-capped Antwren	Herpsilochmus atricapillus		83	88
Creamy-bellied Antwren	Herpsilochmus motacilloides		12	3
Ash-throated Antwren	Herpsilochmus parkeri		17	1
Spot-tailed Antwren	Herpsilochmus sticturus		14	7
Dugand's Antwren	Herpsilochmus dugandi		39	33
Todd's Antwren	Herpsilochmus stictocephalus		20	30
Spot-backed Antwren	Herpsilochmus dorsimaculatus		38	18
Roraiman Antwren	Herpsilochmus roraimae		21	0
Large-billed Antwren	Herpsilochmus longirostris		40	15
Ancient Antwren	Herpsilochmus gentryi		21	16
Yellow-breasted Antwren	Herpsilochmus axillaris		37	9
Rufous-winged Antwren	Herpsilochmus rufimarginatus		197	277
Dot-winged Antwren	Microrhopias quixensis		160	86
Narrow-billed Antwren	Formicivora iheringi		21	9
Black-hooded Antwren	Formicivora erythronotos		35	3
Southern White-fringed Antwren	Formicivora grisea		73	57
Northern White-fringed Antwren	Formicivora intermedia		66	14
Serra Antwren	Formicivora serrana		60	7
Black-bellied Antwren	Formicivora melanogaster		43	17
Rusty-backed Antwren	Formicivora rufa		99	11
Marsh Antwren	Stymphalornis acutirostris		29	0
Ferruginous Antbird	Drymophila ferruginea		128	274
Bertoni's Antbird	Drymophila rubricollis		83	29
Rufous-tailed Antbird	Drymophila genei		57	13
Ochre-rumped Antbird	Drymophila ochropyga		110	43
Dusky-tailed Antbird	Drymophila malura		115	43
Scaled Antbird	Drymophila squamata		121	72
Striated Antbird	Drymophila devillei		94	103
East Andean Antbird	Drymophila caudata		6	0
Streak-capped Antwren	Terenura maculata		71	51
Orange-bellied Antwren	Terenura sicki		13	2
Rufous-rumped Antwren	Terenura callinota		23	3
Chestnut-shouldered Antwren	Terenura humeralis		23	11
Yellow-rumped Antwren	Terenura sharpei		8	1
Ash-winged Antwren	Terenura spodioptila		28	15
Grey Antbird	Cercomacra cinerascens		138	590
Rio de Janeiro Antbird	Cercomacra brasiliana		16	26
Dusky Antbird	Cercomacra tyrannina		250	192
Willis's Antbird	Cercomacra laeta		31	28
Parker's Antbird	Cercomacra parkeri		67	19
Blackish Antbird	Cercomacra nigrescens		130	86
Black Antbird	Cercomacra serva		100	74
Jet Antbird	Cercomacra nigricans		67	18
Rio Branco Antbird	Cercomacra carbonaria		23	5
Mato Grosso Antbird	Cercomacra melanaria		52	20
Manu Antbird	Cercomacra manu		57	45
Bananal Antbird	Cercomacra ferdinandi		17	2
White-backed Fire-eye	Pyriglena leuconota		156	91
Fringe-backed Fire-eye	Pyriglena atra		25	0
White-shouldered Fire-eye	Pyriglena leucoptera		161	215
Slender Antbird	Rhopornis ardesiacus		38	0
White-browed Antbird	Myrmoborus leucophrys		173	242
Ash-breasted Antbird	Myrmoborus lugubris		37	11
Black-faced Antbird	Myrmoborus myotherinus		231	363
Black-tailed Antbird	Myrmoborus melanurus		20	2
Guianan Warbling Antbird	Hypocnemis cantator		70	46
Imeri Warbling Antbird	Hypocnemis flavescens		29	6
Peruvian Warbling Antbird	Hypocnemis peruviana		125	110
Yellow-breasted Warbling Antbird	Hypocnemis subflava		42	171
Rondonia Warbling Antbird	Hypocnemis ochrogyna		18	15
Yellow-browed Antbird	Hypocnemis hypoxantha		78	30
Black-chinned Antbird	Hypocnemoides melanopogon		46	19
Band-tailed Antbird	Hypocnemoides maculicauda		38	15
Black-and-white Antbird	Myrmochanes hemileucus		32	8
Bare-crowned Antbird	Gymnocichla nudiceps		29	1
Silvered Antbird	Sclateria naevia		102	52
Black-headed Antbird	Percnostola rufifrons		88	60
White-lined Antbird	Percnostola lophotes		40	117
Slate-colored Antbird	Schistocichla schistacea		25	4
Spot-winged Antbird	Schistocichla leucostigma		98	5
Humaita Antbird	Schistocichla humaythae		12	8
Brownish-headed Antbird	Schistocichla brunneiceps		8	0
Roraiman Antbird	Schistocichla saturata		17	0
Caura Antbird	Schistocichla caurensis		1	0
Yapacana Antbird	Myrmeciza disjuncta		6	0
White-bellied Antbird	Myrmeciza longipes		91	35
Chestnut-backed Antbird	Myrmeciza exsul		196	395
Ferruginous-backed Antbird	Myrmeciza ferruginea		95	20
Scalloped Antbird	Myrmeciza ruficauda		26	4
White-bibbed Antbird	Myrmeciza loricata		65	24
Squamate Antbird	Myrmeciza squamosa		112	25
Dull-mantled Antbird	Myrmeciza laemosticta		24	3
Magdalena Antbird	Myrmeciza palliata		41	3
Esmeraldas Antbird	Myrmeciza nigricauda		50	14
Stub-tailed Antbird	Myrmeciza berlepschi		38	25
Grey-bellied Antbird	Myrmeciza pelzelni		14	0
Northern Chestnut-tailed Antbird	Myrmeciza castanea		51	8
Southern Chestnut-tailed Antbird	Myrmeciza hemimelaena		125	302
Black-throated Antbird	Myrmeciza atrothorax		166	73
White-shouldered Antbird	Myrmeciza melanoceps		43	72
Goeldi's Antbird	Myrmeciza goeldii		62	198
Plumbeous Antbird	Myrmeciza hyperythra		69	125
Sooty Antbird	Myrmeciza fortis		71	54
Blue-lored Antbird	Myrmeciza immaculata		50	21
Grey-headed Antbird	Myrmeciza griseiceps		18	2
Wing-banded Antbird	Myrmornis torquata		31	1
White-plumed Antbird	Pithys albifrons		46	11
White-masked Antbird	Pithys castaneus		16	1
White-cheeked Antbird	Gymnopithys leucaspis		33	18
Rufous-throated Antbird	Gymnopithys rufigula		33	5
White-throated Antbird	Gymnopithys salvini		27	27
Lunulated Antbird	Gymnopithys lunulatus		18	1
Bare-eyed Antbird	Rhegmatorhina gymnops		27	4
Harlequin Antbird	Rhegmatorhina berlepschi		13	1
White-breasted Antbird	Rhegmatorhina hoffmannsi		9	0
Chestnut-crested Antbird	Rhegmatorhina cristata		6	0
Hairy-crested Antbird	Rhegmatorhina melanosticta		42	8
Spotted Antbird	Hylophylax naevioides		71	22
Spot-backed Antbird	Hylophylax naevius		148	35
Dot-backed Antbird	Hylophylax punctulatus		57	13
Common Scale-backed Antbird	Willisornis poecilinotus		80	71
Xingu Scale-backed Antbird	Willisornis vidua		29	1
Black-spotted Bare-eye	Phlegopsis nigromaculata		62	44
Reddish-winged Bare-eye	Phlegopsis erythroptera		25	2
Pale-faced Bare-eye	Phlegopsis borbae		6	0
Ocellated Antbird	Phaenostictus mcleannani		48	6
Rufous-capped Antthrush	Formicarius colma		136	62
Black-faced Antthrush	Formicarius analis		253	641
Mayan Antthrush	Formicarius moniliger		36	14
Rufous-fronted Antthrush	Formicarius rufifrons		25	12
Black-headed Antthrush	Formicarius nigricapillus		53	39
Rufous-breasted Antthrush	Formicarius rufipectus		78	87
Short-tailed Antthrush	Chamaeza campanisona		195	146
Striated Antthrush	Chamaeza nobilis		40	6
Cryptic Antthrush	Chamaeza meruloides		59	76
Rufous-tailed Antthrush	Chamaeza ruficauda		78	42
Schwartz's Antthrush	Chamaeza turdina		61	3
Barred Antthrush	Chamaeza mollissima		52	7
Undulated Antpitta	Grallaria squamigera		64	89
Giant Antpitta	Grallaria gigantea		17	0
Great Antpitta	Grallaria excelsa		12	0
Variegated Antpitta	Grallaria varia		80	71
Moustached Antpitta	Grallaria alleni		43	5
Scaled Antpitta	Grallaria guatimalensis		93	86
Tachira Antpitta	Grallaria chthonia		0	0
Plain-backed Antpitta	Grallaria haplonota		54	36
Ochre-striped Antpitta	Grallaria dignissima		28	12
Elusive Antpitta	Grallaria eludens		4	1
Chestnut-crowned Antpitta	Grallaria ruficapilla		213	334
Watkins's Antpitta	Grallaria watkinsi		48	20
Santa Marta Antpitta	Grallaria bangsi		74	10
Cundinamarca Antpitta	Grallaria kaestneri		65	4
Stripe-headed Antpitta	Grallaria andicolus		29	6
Grey-naped Antpitta	Grallaria griseonucha		19	0
Bicolored Antpitta	Grallaria rufocinerea		46	1
Jocotoco Antpitta	Grallaria ridgelyi		35	2
Chestnut-naped Antpitta	Grallaria nuchalis		87	35
Pale-billed Antpitta	Grallaria carrikeri		14	0
White-throated Antpitta	Grallaria albigula		55	14
Yellow-breasted Antpitta	Grallaria flavotincta		82	22
White-bellied Antpitta	Grallaria hypoleuca		81	27
Rusty-tinged Antpitta	Grallaria przewalskii		30	4
Bay Antpitta	Grallaria capitalis		25	2
Red-and-white Antpitta	Grallaria erythroleuca		27	1
Rufous Antpitta	Grallaria rufula		283	84
Chestnut Antpitta	Grallaria blakei		44	0
Tawny Antpitta	Grallaria quitensis		130	47
Brown-banded Antpitta	Grallaria milleri		40	6
Urrao Antpitta	Grallaria urraoensis		17	0
Rufous-faced Antpitta	Grallaria erythrotis		30	51
Streak-chested Antpitta	Hylopezus perspicillatus		61	49
Spotted Antpitta	Hylopezus macularius		34	11
Masked Antpitta	Hylopezus auricularis		23	3
Thicket Antpitta	Hylopezus dives		41	10
White-lored Antpitta	Hylopezus fulviventris		24	4
Amazonian Antpitta	Hylopezus berlepschi		49	103
White-browed Antpitta	Hylopezus ochroleucus		27	32
Speckle-breasted Antpitta	Hylopezus nattereri		88	47
Thrush-like Antpitta	Myrmothera campanisona		159	224
Tepui Antpitta	Myrmothera simplex		42	2
Ochre-breasted Antpitta	Grallaricula flavirostris		41	7
Scallop-breasted Antpitta	Grallaricula loricata		5	0
Hooded Antpitta	Grallaricula cucullata		9	0
Peruvian Antpitta	Grallaricula peruviana		13	0
Ochre-fronted Antpitta	Grallaricula ochraceifrons		15	2
Rusty-breasted Antpitta	Grallaricula ferrugineipectus		67	8
Slaty-crowned Antpitta	Grallaricula nana		119	52
Crescent-faced Antpitta	Grallaricula lineifrons		30	1
Rufous Gnateater	Conopophaga lineata		114	53
Chestnut-belted Gnateater	Conopophaga aurita		26	2
Hooded Gnateater	Conopophaga roberti		7	3
Ash-throated Gnateater	Conopophaga peruviana		12	6
Slaty Gnateater	Conopophaga ardesiaca		10	1
Chestnut-crowned Gnateater	Conopophaga castaneiceps		37	5
Black-cheeked Gnateater	Conopophaga melanops		77	13
Black-bellied Gnateater	Conopophaga melanogaster		24	0
Black-crowned Antpitta	Pittasoma michleri		14	0
Rufous-crowned Antpitta	Pittasoma rufopileatum		23	2
Ocellated Tapaculo	Acropternis orthonyx		89	20
Chestnut-throated Huet-huet	Pteroptochos castaneus		28	0
Black-throated Huet-huet	Pteroptochos tarnii		27	1
Moustached Turca	Pteroptochos megapodius		45	12
White-throated Tapaculo	Scelorchilus albicollis		34	3
Chucao Tapaculo	Scelorchilus rubecula		49	6
Crested Gallito	Rhinocrypta lanceolata		29	39
Rusty-belted Tapaculo	Liosceles thoracicus		86	208
Spotted Bamboowren	Psilorhamphus guttatus		51	22
Slaty Bristlefront	Merulaxis ater		82	14
Stresemann's Bristlefront	Merulaxis stresemanni		22	2
Ochre-flanked Tapaculo	Eugralla paradoxa		57	1
Ash-colored Tapaculo	Myornis senilis		75	7
White-breasted Tapaculo	Eleoscytalopus indigoticus		86	35
Bahia Tapaculo	Eleoscytalopus psychopompus		7	0
Marsh Tapaculo	Scytalopus iraiensis		24	0
Mouse-colored Tapaculo	Scytalopus speluncae		100	28
Brasilia Tapaculo	Scytalopus novacapitalis		23	0
Bolivian White-crowned Tapaculo	Scytalopus bolivianus		24	10
Northern White-crowned Tapaculo	Scytalopus atratus		142	30
Santa Marta Tapaculo	Scytalopus sanctaemartae		28	0
Rufous-vented Tapaculo	Scytalopus femoralis		57	14
Long-tailed Tapaculo	Scytalopus micropterus		67	17
Narino Tapaculo	Scytalopus vicinior		91	17
El Oro Tapaculo	Scytalopus robbinsi		30	0
Choco Tapaculo	Scytalopus chocoensis		62	6
Tacarcuna Tapaculo	Scytalopus panamensis		9	1
Silvery-fronted Tapaculo	Scytalopus argentifrons		31	5
Caracas Tapaculo	Scytalopus caracae		12	0
Merida Tapaculo	Scytalopus meridanus		80	5
Brown-rumped Tapaculo	Scytalopus latebricola		43	5
Spillmann's Tapaculo	Scytalopus spillmanni		155	19
Chusquea Tapaculo	Scytalopus parkeri		76	19
Trilling Tapaculo	Scytalopus parvirostris		45	22
Tschudi's Tapaculo	Scytalopus acutirostris		52	7
Unicolored Tapaculo	Scytalopus unicolor		59	2
Pale-bellied Tapaculo	Scytalopus griseicollis		98	21
Paramo Tapaculo	Scytalopus opacus		90	2
Ancash Tapaculo	Scytalopus affinis		15	0
Neblina Tapaculo	Scytalopus altirostris		16	2
Vilcabamba Tapaculo	Scytalopus urubambae		4	0
Diademed Tapaculo	Scytalopus schulenbergi		22	11
Puna Tapaculo	Scytalopus simonsi		27	7
Zimmer's Tapaculo	Scytalopus zimmeri		48	9
White-browed Tapaculo	Scytalopus superciliaris		10	1
Magellanic Tapaculo	Scytalopus magellanicus		39	5
Blackish Tapaculo	Scytalopus latrans		409	97
Large-footed Tapaculo	Scytalopus macropus		9	1
Collared Crescentchest	Melanopareia torquata		40	10
Olive-crowned Crescentchest	Melanopareia maximiliani		33	7
Maranon Crescentchest	Melanopareia maranonica		37	5
Elegant Crescentchest	Melanopareia elegans		50	36
Grey-headed Piprites	Piprites griseiceps		2	0
Wing-barred Piprites	Piprites chloris		128	169
Black-capped Piprites	Piprites pileata		16	2
Planalto Tyrannulet	Phyllomyias fasciatus		62	87
Yungas Tyrannulet	Phyllomyias weedeni		9	0
Rough-legged Tyrannulet	Phyllomyias burmeisteri		63	9
Greenish Tyrannulet	Phyllomyias virescens		31	7
Reiser's Tyrannulet	Phyllomyias reiseri		14	0
Urich's Tyrannulet	Phyllomyias urichi		0	0
Sclater's Tyrannulet	Phyllomyias sclateri		23	7
Grey-capped Tyrannulet	Phyllomyias griseocapilla		27	23
Sooty-headed Tyrannulet	Phyllomyias griseiceps		77	35
Plumbeous-crowned Tyrannulet	Phyllomyias plumbeiceps		25	6
Black-capped Tyrannulet	Phyllomyias nigrocapillus		36	16
Ashy-headed Tyrannulet	Phyllomyias cinereiceps		38	2
Tawny-rumped Tyrannulet	Phyllomyias uropygialis		29	10
Yellow-crowned Tyrannulet	Tyrannulus elatus		52	188
Forest Elaenia	Myiopagis gaimardii		92	219
Grey Elaenia	Myiopagis caniceps		120	47
Foothill Elaenia	Myiopagis olallai		42	3
Pacific Elaenia	Myiopagis subplacens		40	22
Yellow-crowned Elaenia	Myiopagis flavivertex		36	8
Greenish Elaenia	Myiopagis viridicata		135	35
Yellow-bellied Elaenia	Elaenia flavogaster		177	270
Caribbean Elaenia	Elaenia martinica		28	10
Large Elaenia	Elaenia spectabilis		83	32
Noronha Elaenia	Elaenia ridleyana		11	0
White-crested Elaenia	Elaenia albiceps		76	36
Small-billed Elaenia	Elaenia parvirostris		82	27
Olivaceous Elaenia	Elaenia mesoleuca		46	20
Slaty Elaenia	Elaenia strepera		17	0
Mottle-backed Elaenia	Elaenia gigas		18	7
Brownish Elaenia	Elaenia pelzelni		11	5
Plain-crested Elaenia	Elaenia cristata		47	14
Lesser Elaenia	Elaenia chiriquensis		83	16
Rufous-crowned Elaenia	Elaenia ruficeps		14	1
Mountain Elaenia	Elaenia frantzii		114	69
Highland Elaenia	Elaenia obscura		76	22
Great Elaenia	Elaenia dayi		4	0
Sierran Elaenia	Elaenia pallatangae		52	25
Greater Antillean Elaenia	Elaenia fallax		3	0
Yellow-bellied Tyrannulet	Ornithion semiflavum		21	3
Brown-capped Tyrannulet	Ornithion brunneicapillus		43	32
White-lored Tyrannulet	Ornithion inerme		102	50
Northern Beardless Tyrannulet	Camptostoma imberbe		76	31
Southern Beardless Tyrannulet	Camptostoma obsoletum		280	262
Suiriri Flycatcher	Suiriri suiriri		71	23
Chapada Flycatcher	Suiriri islerorum		15	1
White-throated Tyrannulet	Mecocerculus leucophrys		128	76
White-tailed Tyrannulet	Mecocerculus poecilocercus		41	19
Buff-banded Tyrannulet	Mecocerculus hellmayri		26	5
Rufous-winged Tyrannulet	Mecocerculus calopterus		6	1
Sulphur-bellied Tyrannulet	Mecocerculus minor		23	1
White-banded Tyrannulet	Mecocerculus stictopterus		79	45
Black-crested Tit-Tyrant	Anairetes nigrocristatus		24	0
Pied-crested Tit-Tyrant	Anairetes reguloides		15	1
Ash-breasted Tit-Tyrant	Anairetes alpinus		12	0
Yellow-billed Tit-Tyrant	Anairetes flavirostris		33	6
Tufted Tit-Tyrant	Anairetes parulus		62	7
Juan Fernandez Tit-Tyrant	Anairetes fernandezianus		9	0
Agile Tit-Tyrant	Uromyias agilis		33	4
Unstreaked Tit-Tyrant	Uromyias agraphia		24	0
Torrent Tyrannulet	Serpophaga cinerea		13	2
River Tyrannulet	Serpophaga hypoleuca		14	0
Sooty Tyrannulet	Serpophaga nigricans		23	0
White-crested Tyrannulet	Serpophaga subcristata		75	8
White-bellied Tyrannulet	Serpophaga munda		25	9
Mouse-colored Tyrannulet	Phaeomyias murina		140	86
Yellow Tyrannulet	Capsiempis flaveola		156	92
Bearded Tachuri	Polystictus pectoralis		17	0
Grey-backed Tachuri	Polystictus superciliaris		14	1
Dinelli's Doradito	Pseudocolopteryx dinelliana		18	0
Crested Doradito	Pseudocolopteryx sclateri		9	0
Subtropical Doradito	Pseudocolopteryx acutipennis		5	0
Warbling Doradito	Pseudocolopteryx flaviventris		21	0
Bronze-olive Pygmy Tyrant	Pseudotriccus pelzelni		43	1
Hazel-fronted Pygmy Tyrant	Pseudotriccus simplex		13	2
Rufous-headed Pygmy Tyrant	Pseudotriccus ruficeps		63	10
Ringed Antpipit	Corythopis torquatus		68	69
Southern Antpipit	Corythopis delalandi		85	22
Tawny-crowned Pygmy Tyrant	Euscarthmus meloryphus		170	72
Rufous-sided Pygmy Tyrant	Euscarthmus rufomarginatus		38	3
Grey-and-white Tyrannulet	Pseudelaenia leucospodia		25	9
Lesser Wagtail-Tyrant	Stigmatura napensis		34	6
Greater Wagtail-Tyrant	Stigmatura budytoides		53	29
Paltry Tyrannulet	Zimmerius vilissimus		29	34
Bolivian Tyrannulet	Zimmerius bolivianus		12	5
Red-billed Tyrannulet	Zimmerius cinereicapilla		12	0
Mishana Tyrannulet	Zimmerius villarejoi		20	3
Slender-footed Tyrannulet	Zimmerius gracilipes		46	85
Golden-faced Tyrannulet	Zimmerius chrysops		149	245
Peruvian Tyrannulet	Zimmerius viridiflavus		12	22
Variegated Bristle Tyrant	Pogonotriccus poecilotis		21	19
Chapman's Bristle Tyrant	Pogonotriccus chapmani		1	0
Marble-faced Bristle Tyrant	Pogonotriccus ophthalmicus		54	18
Spectacled Bristle Tyrant	Pogonotriccus orbitalis		5	1
Venezuelan Bristle Tyrant	Pogonotriccus venezuelanus		3	0
Antioquia Bristle Tyrant	Pogonotriccus lanyoni		26	0
Southern Bristle Tyrant	Pogonotriccus eximius		30	2
Mottle-cheeked Tyrannulet	Phylloscartes ventralis		97	18
Alagoas Tyrannulet	Phylloscartes ceciliae		2	0
Restinga Tyrannulet	Phylloscartes kronei		33	1
Bahia Tyrannulet	Phylloscartes beckeri		10	0
Panamanian Tyrannulet	Phylloscartes flavovirens		3	0
Olive-green Tyrannulet	Phylloscartes virescens		13	8
Ecuadorian Tyrannulet	Phylloscartes gualaquizae		39	12
Black-fronted Tyrannulet	Phylloscartes nigrifrons		7	0
Rufous-browed Tyrannulet	Phylloscartes superciliaris		25	9
Rufous-lored Tyrannulet	Phylloscartes flaviventris		3	0
Cinnamon-faced Tyrannulet	Phylloscartes parkeri		11	3
Minas Gerais Tyrannulet	Phylloscartes roquettei		19	3
Sao Paulo Tyrannulet	Phylloscartes paulista		25	1
Oustalet's Tyrannulet	Phylloscartes oustaleti		42	12
Serra do Mar Tyrannulet	Phylloscartes difficilis		40	8
Bay-ringed Tyrannulet	Phylloscartes sylviolus		23	0
Streak-necked Flycatcher	Mionectes striaticollis		26	5
Olive-striped Flycatcher	Mionectes olivaceus		38	6
Ochre-bellied Flycatcher	Mionectes oleagineus		108	53
McConnell's Flycatcher	Mionectes macconnelli		17	7
Grey-hooded Flycatcher	Mionectes rufiventris		43	18
Sepia-capped Flycatcher	Leptopogon amaurocephalus		116	80
Slaty-capped Flycatcher	Leptopogon superciliaris		68	43
Rufous-breasted Flycatcher	Leptopogon rufipectus		72	11
Inca Flycatcher	Leptopogon taczanowskii		21	3
Northern Scrub Flycatcher	Sublegatus arenarum		10	0
Amazonian Scrub Flycatcher	Sublegatus obscurior		19	5
Southern Scrub Flycatcher	Sublegatus modestus		45	3
Slender-billed Inezia	Inezia tenuirostris		30	6
Plain Inezia	Inezia inornata		41	5
Amazonian Inezia	Inezia subflava		13	1
Pale-tipped Inezia	Inezia caudata		26	7
Flavescent Flycatcher	Myiophobus flavicans		54	8
Orange-crested Flycatcher	Myiophobus phoenicomitra		28	0
Unadorned Flycatcher	Myiophobus inornatus		8	0
Roraiman Flycatcher	Myiophobus roraimae		25	2
Olive-chested Flycatcher	Myiophobus cryptoxanthus		42	7
Bran-colored Flycatcher	Myiophobus fasciatus		145	51
Handsome Flycatcher	Nephelomyias pulcher		35	9
Orange-banded Flycatcher	Nephelomyias lintoni		25	1
Ochraceous-breasted Flycatcher	Nephelomyias ochraceiventris		6	0
Ornate Flycatcher	Myiotriccus ornatus		104	106
Many-colored Rush Tyrant	Tachuris rubrigastra		48	15
Sharp-tailed Grass Tyrant	Culicivora caudacuta		33	1
Drab-breasted Bamboo Tyrant	Hemitriccus diops		81	67
Brown-breasted Bamboo Tyrant	Hemitriccus obsoletus		39	11
Flammulated Bamboo Tyrant	Hemitriccus flammulatus		46	104
Snethlage's Tody-Tyrant	Hemitriccus minor		67	15
Yungas Tody-Tyrant	Hemitriccus spodiops		5	9
Boat-billed Tody-Tyrant	Hemitriccus josephinae		10	2
